Team,Date,Event,Opponent,Map,W/L,Outcome,Year
Astralis,12/09/18,FACEIT Major 2018,Natus Vincere,Inferno,16 - 14,1,2018
Astralis,21/01/18,ELEAGUE Major 2018,fnatic,Mirage,8 - 16,0,2018
Astralis,14/09/18,FACEIT Major 2018,Liquid,Inferno,15 - 19,0,2018
Astralis,22/01/18,ELEAGUE Major 2018,Cloud9,Train,6 - 16,0,2018
Astralis,15/09/18,FACEIT Major 2018,MIBR,Dust2,16 - 0,1,2018
Astralis,13/09/18,FACEIT Major 2018,Vega Squadron,Inferno,16 - 4,1,2018
Astralis,21/09/18,FACEIT Major 2018,FaZe,Inferno,16 - 12,1,2018
Astralis,19/01/18,ELEAGUE Major 2018,mousesports,Cache,2 - 16,0,2018
Astralis,23/09/18,FACEIT Major 2018,Natus Vincere,Nuke,16 - 6,1,2018
Astralis,20/01/18,ELEAGUE Major 2018,North,Train,16 - 14,1,2018
Astralis,23/09/18,FACEIT Major 2018,Natus Vincere,Overpass,16 - 9,1,2018
Astralis,21/09/18,FACEIT Major 2018,FaZe,Mirage,16 - 14,1,2018
Astralis,22/09/18,FACEIT Major 2018,Liquid,Mirage,16 - 7,1,2018
Astralis,22/09/18,FACEIT Major 2018,Liquid,Nuke,16 - 8,1,2018
Astralis,21/02/19,IEM Katowice 2019,Renegades,Nuke,16 - 9,1,2019
Astralis,21/02/19,IEM Katowice 2019,Renegades,Mirage,17 - 19,0,2019
Astralis,01/03/19,IEM Katowice 2019,NIP,Dust2,16 - 14,1,2019
Astralis,08/09/19,StarLadder Major Berlin 2019,AVANGAR,Dust2,16 - 5,1,2019
Astralis,08/09/19,StarLadder Major Berlin 2019,AVANGAR,Inferno,16 - 6,1,2019
Astralis,30/08/19,StarLadder Major Berlin 2019,NRG,Train,28 - 31,0,2019
Astralis,06/09/19,StarLadder Major Berlin 2019,Liquid,Overpass,16 - 13,1,2019
Astralis,31/08/19,StarLadder Major Berlin 2019,CR4ZY,Dust2,29 - 31,0,2019
Astralis,31/08/19,StarLadder Major Berlin 2019,CR4ZY,Inferno,16 - 11,1,2019
Astralis,20/02/19,IEM Katowice 2019,Cloud9,Train,16 - 0,1,2019
Astralis,21/02/19,IEM Katowice 2019,Renegades,Inferno,16 - 2,1,2019
Astralis,02/03/19,IEM Katowice 2019,MIBR,Overpass,16 - 14,1,2019
Astralis,03/03/19,IEM Katowice 2019,ENCE,Train,16 - 11,1,2019
Astralis,31/08/19,StarLadder Major Berlin 2019,CR4ZY,Vertigo,16 - 5,1,2019
Astralis,20/02/19,IEM Katowice 2019,Complexity,Nuke,16 - 6,1,2019
Astralis,30/08/19,StarLadder Major Berlin 2019,NRG,Nuke,4 - 16,0,2019
Astralis,01/03/19,IEM Katowice 2019,NIP,Mirage,16 - 2,1,2019
Astralis,03/03/19,IEM Katowice 2019,ENCE,Inferno,16 - 4,1,2019
Astralis,29/08/19,StarLadder Major Berlin 2019,G2,Nuke,16 - 7,1,2019
Astralis,02/03/19,IEM Katowice 2019,MIBR,Inferno,16 - 7,1,2019
Astralis,06/09/19,StarLadder Major Berlin 2019,Liquid,Vertigo,16 - 8,1,2019
Astralis,07/09/19,StarLadder Major Berlin 2019,NRG,Train,16 - 10,1,2019
Astralis,28/08/19,StarLadder Major Berlin 2019,DreamEaters,Dust2,16 - 9,1,2019
Astralis,07/09/19,StarLadder Major Berlin 2019,NRG,Overpass,16 - 9,1,2019
FaZe,28/01/18,ELEAGUE Major 2018,Cloud9,Overpass,10 - 16,0,2018
FaZe,26/01/18,ELEAGUE Major 2018,mousesports,Cache,16 - 9,1,2018
FaZe,16/09/18,FACEIT Major 2018,G2,Dust2,25 - 22,1,2018
FaZe,20/01/18,ELEAGUE Major 2018,Vega Squadron,Train,16 - 3,1,2018
FaZe,27/01/18,ELEAGUE Major 2018,Natus Vincere,Inferno,16 - 9,1,2018
FaZe,21/01/18,ELEAGUE Major 2018,SK,Cache,16 - 12,1,2018
FaZe,26/01/18,ELEAGUE Major 2018,mousesports,Nuke,19 - 16,1,2018
FaZe,16/09/18,FACEIT Major 2018,G2,Mirage,16 - 2,1,2018
FaZe,12/09/18,FACEIT Major 2018,BIG,Dust2,5 - 16,0,2018
FaZe,27/01/18,ELEAGUE Major 2018,Natus Vincere,Mirage,16 - 7,1,2018
FaZe,21/09/18,FACEIT Major 2018,Astralis,Inferno,12 - 16,0,2018
FaZe,13/09/18,FACEIT Major 2018,Natus Vincere,Overpass,12 - 16,0,2018
FaZe,19/01/18,ELEAGUE Major 2018,fnatic,Cache,16 - 8,1,2018
FaZe,14/09/18,FACEIT Major 2018,mousesports,Mirage,16 - 8,1,2018
FaZe,28/01/18,ELEAGUE Major 2018,Cloud9,Inferno,19 - 22,0,2018
FaZe,15/09/18,FACEIT Major 2018,TYLOO,Mirage,16 - 4,1,2018
FaZe,28/01/18,ELEAGUE Major 2018,Cloud9,Mirage,16 - 14,1,2018
FaZe,21/09/18,FACEIT Major 2018,Astralis,Mirage,14 - 16,0,2018
FaZe,20/02/19,IEM Katowice 2019,HellRaisers,Train,16 - 4,1,2019
FaZe,24/02/19,IEM Katowice 2019,Cloud9,Cache,16 - 14,1,2019
FaZe,24/02/19,IEM Katowice 2019,Cloud9,Dust2,16 - 9,1,2019
FaZe,30/08/19,StarLadder Major Berlin 2019,CR4ZY,Mirage,9 - 16,0,2019
FaZe,28/08/19,StarLadder Major Berlin 2019,mousesports,Mirage,16 - 8,1,2019
FaZe,23/02/19,IEM Katowice 2019,Complexity,Dust2,16 - 14,1,2019
FaZe,20/02/19,IEM Katowice 2019,Renegades,Inferno,14 - 16,0,2019
FaZe,31/08/19,StarLadder Major Berlin 2019,Renegades,Vertigo,14 - 16,0,2019
FaZe,31/08/19,StarLadder Major Berlin 2019,Renegades,Nuke,16 - 3,1,2019
FaZe,23/02/19,IEM Katowice 2019,Complexity,Cache,8 - 16,0,2019
FaZe,29/08/19,StarLadder Major Berlin 2019,Vitality,Dust2,7 - 16,0,2019
FaZe,28/02/19,IEM Katowice 2019,Natus Vincere,Mirage,7 - 16,0,2019
FaZe,23/02/19,IEM Katowice 2019,Complexity,Mirage,16 - 11,1,2019
FaZe,21/02/19,IEM Katowice 2019,AVANGAR,Mirage,13 - 16,0,2019
FaZe,28/02/19,IEM Katowice 2019,Natus Vincere,Inferno,13 - 16,0,2019
FaZe,31/08/19,StarLadder Major Berlin 2019,Renegades,Mirage,19 - 22,0,2019
G2,26/01/18,ELEAGUE Major 2018,Cloud9,Overpass,7 - 16,0,2018
G2,12/09/18,FACEIT Major 2018,HellRaisers,Dust2,22 - 20,1,2018
G2,15/09/18,FACEIT Major 2018,Cloud9,Inferno,22 - 19,1,2018
G2,16/09/18,FACEIT Major 2018,FaZe,Mirage,2 - 16,0,2018
G2,14/09/18,FACEIT Major 2018,MIBR,Inferno,4 - 16,0,2018
G2,26/01/18,ELEAGUE Major 2018,Cloud9,Mirage,8 - 16,0,2018
G2,20/01/18,ELEAGUE Major 2018,Liquid,Inferno,16 - 8,1,2018
G2,21/01/18,ELEAGUE Major 2018,Quantum Bellator Fire,Cache,16 - 4,1,2018
G2,19/01/18,ELEAGUE Major 2018,Cloud9,Cache,16 - 8,1,2018
G2,16/09/18,FACEIT Major 2018,FaZe,Dust2,22 - 25,0,2018
G2,13/09/18,FACEIT Major 2018,Complexity,Cache,11 - 16,0,2018
G2,01/09/19,StarLadder Major Berlin 2019,Renegades,Inferno,9 - 16,0,2019
G2,01/09/19,StarLadder Major Berlin 2019,Renegades,Vertigo,11 - 16,0,2019
G2,31/08/19,StarLadder Major Berlin 2019,AVANGAR,Dust2,16 - 9,1,2019
